name,url,start_date,end_date,location,remote,description,themes,registration_url,registration_deadline,source,extraction_success
The AI Conference 2025 - Shaping the future of AI,https://aiconference.com/,2025-09-17,2025-09-18,"San Francisco, CA",False,"Join the brightest minds in AI for 2 days of sessions, panels, and networking at Pier 48, Mission Rock.","['AI', 'Generative AI', 'Biotech', 'Machine Learning', 'Data Science']",https://aiconference.com/register,,mini,True
Machine Learning Conference New York 2025,https://mlconference.ai/new-york/program-ny/,,,"New York, NY",False,Machine Learning Conference in New York featuring speakers and talks on various ML topics.,"['Machine Learning', 'MLOps', 'AI Agent Bootcamp', 'ML Tools', 'ML Business']",,,mini,True
Conference at ,https://www.unite.ai/conferences/,,,,,,,,,mini,False
Data + AI Summit 2025,https://www.databricks.com/dataaisummit,2025-06-09,2025-06-12,"San Francisco, CA",False,"Join 20,000 peers for 700+ sessions at the world’s largest data, analytics, and AI conference.","['Data Intelligence', 'Analytics', 'AI']",https://www.databricks.com/dataaisummit/register,,mini,True
The AI Summit New York,https://newyork.theaisummit.com/,2025-12-10,2025-12-11,"New York, NY",False,"The AI Summit New York is the go-to global platform for enterprise leaders to move from ideas to action, bringing together visionary minds, cutting-edge tech, and real-world strategies that turn theory into profit.","['AI', 'Enterprise', 'Technology', 'Innovation', 'Business']",https://newyork.theaisummit.com/register,,mini,True
AI Conference 2022,https://www.eventbrite.com/signin/signup/?referrer=%2Fd%2Fonline%2Fai-conference%2F,,,Online,False,Join us for the annual AI Conference showcasing the latest advancements in artificial intelligence.,"['AI', 'Machine Learning', 'Data Science']",https://www.eventbrite.com/signin/signup/?referrer=%2Fd%2Fonline%2Fai-conference%2F,,mini,True
The Best Event Marketing Platform: Tools To Grow Your Brand,https://www.eventbrite.com/organizer/features/event-marketing-platform/,,,Remote,True,Eventbrite is the leading event ticketing and discovery platform trusted by millions of organizers and attendees around the world.,"['Event Marketing', 'Brand Growth', 'Email Marketing']",https://www.eventbrite.com/organizer/features/event-marketing-platform/,,mini,True
Event Payment System,https://www.eventbrite.com/organizer/features/event-payment/,,,Remote,False,Take the guesswork out of accepting payments and receiving payouts with tools available for all organizers.,"['Event Payment', 'Online Payments', 'Event Management']",,,mini,True
Host Retail Events,https://www.eventbrite.com/organizer/event-format/host-retail-events/,,,Remote,False,"Grow your retail business with unique event experiences. Build meaningful customer connections, reach new people, and stand out from the crowd by creating unique experiences your customers will love.","['Retail', 'Customer Connections', 'Unique Experiences']",,,mini,True
Festival Solutions for Fairs & Festivals,https://www.eventbrite.com/organizer/event-type/festival-solutions/,,,Remote,False,"Sell festival tickets on the leading events platform. Eventbrite’s festival management software gives you the built-in tools to create, promote, and sell festival tickets online to your target audience.","['Festivals', 'Ticketing', 'Event Management']",,,mini,True
Eventbrite Organizer Resource Hub,https://www.eventbrite.com/resources/,,,Remote,False,"Access valuable resources for event organizers including event planning, budgeting, marketing, and production tips.","['Event Planning', 'Event Budgeting', 'Event Marketing', 'Event Production', 'AI Tools']",https://www.eventbrite.com/resources/,,mini,True
Google I/O 2025,https://events.google.com/io/,,,Remote,False,"Catch up on Google I/O and check out the latest announcements. Join us at I/O Connect to explore, network, and get hands-on with the latest products. Solve the I/O puzzle to guide, reflect, and split beams of light.","['Android', 'AI', 'Web', 'Cloud']",,,mini,True
